Game,Top_Positive_Words,Top_Negative_Words
0 Day,"['wait devs', 'love wait', 'devs love', 'devs', 'wait', 'love', 'factory', 'far', 'fan series', 'fanbase']",
100% Orange Juice,"['dice', 'mario party', 'mario', 'roll', 'dice roll', 'rng', 'party', 'roll dice', 'ele', 'friend']","['ear dream', 'shorter annoying', 'chute', 'chute ladder', 'ladder instead', 'continuous moaning', 'number hear', 'annoying luck', 'clueless number', 'moaning ear']"
ARK: Survival Ascended,"['ascend', 'server', 'mod', 'dinosaur', 'pc', 'graphic', 'dinos', 'dino', 'love', 'evolve']","['ase', 'wildcard', 'server', 'evolve', 'crash', 'gb', 'ascend', 'money', 'run', 'mod']"
ARK: Survival Evolved,"['dinosaur', 'dino', 'tame', 'asa', 'server', 'ascend', 'friend', 'dinos', 'raptor', 'mod']","['server', 'dino', 'wildcard', 'snail', 'dinosaur', 'crash', 'shit', 'dinos', 'ascend', 'tribe']"
Age of Empires II: Definitive Edition,"['rt', 'aoe', 'classic', 'strategy', 'empire', 'campaign', 'love', 'civilization', 'year', 'remaster']","['unit', 'civilization', 'internet', 'bug', 'compatibility', 'connection', 'elo', 'maps', 'spend', 'resource']"
Age of Empires IV: Anniversary Edition,"['aoe', 'rt', 'empire', 'civilization', 'civ', 'civs', 'strategy', 'unit', 'historical', 'campaign']","['aoe', 'empire', 'skilled', 'rt', 'historical', 'opponent', 'english', 'build', 'ban', 'ai']"
Artifact,"['valve', 'murder', 'zu', 'fan love', 'fan series', 'fanbase', 'fancy', 'fantastic', 'fantastic story', 'fantasy']",
Assassin's Creed® Origins,"['ac', 'egypt', 'bayek', 'origin', 'ancient egypt', 'story', 'ancient', 'odyssey', 'ubisoft', 'combat']","['ubisoft', 'connect', 'ubisoft connect', 'quest', 'ac', 'open world', 'pretty', 'open', 'odyssey', 'offline']"
Atomic Heart,"['bioshock', 'story', 'soviet', 'robot', 'weapon', 'world', 'combat', 'puzzle', 'boss', 'russian']","['robot', 'bioshock', 'whine', 'bok', 'bot', 'dialogue', 'character', 'bir', 'bok bok', 'combat']"
BONEWORKS,"['bonework', 'bonelab', 'vr', 'sandbox love', 'love sandbox', 'sandbox', 'story', 'love', 'physics', 'bone']","['puzzle', 'son', 'awfully', 'unlock ability', 'story mode', 'hat', 'unintereste', 'afterthought', 'force', 'horribly']"
Baldur's Gate 3,"['larian', 'dnd', 'character', 'story', 'dd', 'rpg', 'love', 'larian studio', 'act', 'amazing']","['character', 'gear', 'character creation', 'companion', 'pause', 'cap', 'creation', 'level', 'useful', 'pick']"
Barotrauma,"['submarine', 'ship', 'friend', 'husk', 'reactor', 'crew', 'sub', 'clown', 'modding', 'server']","['ship', 'flood', 'pet', 'sub', 'round', 'expedition', 'casual', 'crew', 'husk', 'item']"
Battlefield 4™,"['campaign', 'server', 'ea', 'multiplayer', 'destruction', 'helicopter', 'warfare', 'largescale', 'shooter', 'vehicle']","['punkbuster', 'server', 'kick', 'kick punkbuster', 'ea', 'campaign', 'multiplayer', 'ddose', 'lose connection', 'server ddose']"
Battlefield™ 2042,"['bf', 'launch', 'operator', 'vehicle', 'bot', 'map', 'xp', 'sale', 'ea', 'gun']","['ea', 'bf', 'money', 'server', 'map', 'kill', 'waste money', 'crash', 'matchmaking', 'sniper']"
Beast Saga,"['zu', 'far easy', 'fan series', 'fanbase', 'fancy', 'fantastic', 'fantastic story', 'fantasy', 'far', 'far love']",
Beat Saber,"['vr', 'song', 'rhythm', 'mod', 'exercise', 'vr headset', 'headset', 'modding', 'block', 'modding community']","['song', 'steamvr', 'rhythm', 'music pack', 'issue', 'expert', 'mod', 'major issue', 'break mod', 'vr']"
Black Squad,"['beste', 'sehr', 'csgo', 'decent competitive', 'devs order', 'combo cod', 'll decent', 'fps definitely', 'empfehlen beste', 'empfehlen']","['clan', 'valofe', 'founder', 'founder package', 'money', 'chat', 'waist', 'hacker', 'ban', 'package']"
Box Cat Bash,"['love bough', 'absolutely sale', 'sale kind', 'bough', 'experience beautiful', 'dollar worth', 'bastard', 'bird', 'worth friend', 'friend love']",
Brawlhalla,"['little unique', 'smash bros', 'super smash', 'bros', 'skin weapon', 'floaty', 'overall super', 'fight overall', 'diamond', 'ah']","['legend straight', 'offering insanely', 'brawler offering', 'brawler', 'insanely price', 'price package', 'force legend', 'battlepass bs', 'debut kind', 'debut']"
CODE VEIN,"['anime', 'soulslike', 'soul', 'io', 'companion', 'boss', 'story', 'dark soul', 'dark', 'character']","['soul', 'dark soul', 'dark', 'soulslike', 'enemy', 'stamina', 'design', 'map', 'boss', 'cathedral']"
Company of Heroes 3,"['coh', 'rt', 'relic', 'campaign', 'unit', 'launch', 'faction', 'multiplayer', 'balance', 'release']","['unit', 'relic', 'coh', 'battlegroup', 'tank', 'faction', 'campaign', 'balance', 'axis', 'hero']"
Contra Anniversary Collection,"['nes', 'konami', 'ne', 'space marine', 'marine', 'ol', 'konami code', 'neighborhood', 'sne', 'arcade']","['port', 'rom', 'ludicrous telling', 'port miss', 'rom review', 'formula die', 'emulate rom', 'progression wipe', 'replay level', 'industry far']"
Cookie Clicker,"['pain pain', 'pain', 'click click', 'stop stop', 'click', 'stop', 'bakery', 'crazy crazy', 'idle', 'grandma']","['addict', 'ascend', 'life', 'progress', 'team', 'achievement', 'placement', 'count', 'actually', 'rank']"
Counter-Strike 2,"['cheater', 'counterstrike', 'csgo', 'valve', 'russian', 'competitive', 'anticheat', 'cs', 'match', 'shooter']","['cheater', 'vac', 'valve', 'pls vac', 'vac pls', 'pls', 'counterstrike', 'csgo', 'cs', 'cheat']"
Crusader Kings III,"['incest', 'king', 'strategy', 'pope', 'land', 'paradox', 'historical', 'daughter', 'history', 'son']","['paradox', 'kingdom', 'unit', 'pdx', 'dlcs', 'doo', 'worst', 'lose', 'love', 'wallet']"
Cursed to Golf,"['pin', 'ball pin', 'card', 'hole', 'pin help', 'drill', 'ball', 'cavern', 'golfing', 'golfer']","['card', 'stroke', 'use', 'ball', 'hole', 'roguelike', 'arrow', 'clunky', 'camera', 'extra']"
Cyberpunk 2077,"['night city', 'story', 'phantom liberty', 'phantom', 'liberty', 'city', 'character', 'world', 'night', 'cyberware']",
DARK SOULS™ II,"['soul', 'scholar', 'los', 'dificultad', 'la', 'area', 'una', 'en', 'el', 'king']","['scholar', 'sotfs', 'soul', 'darksouls', 'darksoul', 'original', 'scholar sin', 'enemy placement', 'vanilla', 'placement']"
DARK SOULS™ III,"['boss', 'soul', 'elden', 'ring', 'elden ring', 'sekiro', 'fight', 'level', 'area', 'design']","['soul', 'boss', 'elden ring', 'elden', 'attack', 'ring', 'stutter', 'enemy', 'soul soul', 'git gud']"
Darkest Dungeon® II,"['kingdom', 'confession', 'hero', 'token', 'boss', 'confession mode', 'kingdoms', 'character', 'run', 'relationship']","['boss', 'character', 'run', 'hero', 'attack', 'relationship', 'minion', 'trinket', 'path', 'bleed']"
Dead Cells,"['cell', 'metroidvania', 'roguelike', 'love', 'combat', 'weapon', 'unlock', 'die', 'roguelite', 'run']","['roguelike', 'cell', 'rogue', 'exploration', 'atmosphere', 'gear', 'extra', 'soul', 'cycle', 'mix']"
Dead by Daylight,"['killer', 'survivor', 'dbd', 'killer survivor', 'perk', 'horror', 'friend', 'love', 'toxic', 'people']","['killer', 'survivor', 'perk', 'hook', 'killer survivor', 'dbd', 'match', 'community', 'tunnel', 'toxic']"
Deep Rock Galactic,"['rich rich', 'rich', 'stone', 'dwarf', 'beer', 'mission', 'friend', 'coop', 'bug', 'cosmetic']","['mission', 'perk', 'upgrade', 'heavily', 'gun', 'bro', 'funny', 'enemy', 'kickstarter', 'include']"
Destiny 2,"['bungie', 'shape', 'story', 'love', 'content', 'end', 'life', 'friend', 'beta', 'final']","['bungie', 'content', 'season', 'story', 'expansion', 'raid', 'exotic', 'activity', 'year', 'pvp']"
DiRT Rally,"['car', 'race', 'paper', 'drive', 'wheel', 'grind', 'old', 'anymore', 'life', 'experience']",
Dota 2,"['till earth', 'probably till', 'earth expire', 'heed', 'expire', 'love free', 'free love', 'love probably', 'caution', 'start love']","['hear nerd', 'loss troll', 'nerd ew', 'river ocean', 'troll exist', 'stupid river', 'ew', 'auto loss', 'exist hear', 'ew shit']"
Dying Light,"['zombie', 'parkour', 'die', 'story', 'dropkick', 'rooftop', 'crane', 'night', 'combat', 'dead island']","['zombie', 'weapon', 'run', 'story', 'die', 'mission', 'parkour', 'quest', 'friend', 'help']"
ELDEN RING,"['die swing', 'boss', 'swing die', 'swing', 'soul', 'world', 'die', 'open world', 'dieswing die', 'swing dieswing']",
Elementary Anatomy: With Story Mode,"['ant', 'lag badly', 'layer', 'badly', 'female', 'tool', 'sound affect', 'layer digestive', 'click slice', 'launch lag']","['extremely clumsy', 'interface extremely', 'clumsy unpolished', 'controller interface', 'unpolished controller', 'unpolished', 'clumsy', 'interface', 'controller', 'extremely']"
Elite Dangerous,"['space', 'ship', 'space sim', 'galaxy', 'vr', 'sim', 'flight', 'mining', 'star', 'citizen']","['ship', 'planet', 'space', 'mission', 'frontier', 'fly', 'agree', 'carrier', 'vacation', 'grind']"
Euro Truck Simulator 2,"['drive', 'trucking', 'road', 'europe', 'fog coming', 'coming fog', 'relax', 'coming', 'traffic', 'fog']","['cargo', 'change', 'layout', 'developer', 'wheel', 'drive', 'gamepad', 'old', 'map', 'setting']"
Europa Universalis IV,"['paradox', 'conquer', 'napoleon', 'empire', 'map painting', 'kill native', 'sack', 'strategy', 'buzz', 'dlcs']","['nation', 'paradox', 'strategy', 'dlcs', 'loan', 'people dlcs', 'spend pound', 'country', 'scumbag', 'pound']"
Exanima,"['arena', 'combat', 'dungeon crawler', 'dungeon', 'crawler', 'dev cycle', 'coffee diary', 'diary', 'development', 'learn']","['year', 'early access', 'tech demo', 'demo', 'tech', 'access', 'early', 'devs', 'month', 'diary']"
FINAL FANTASY X/X-2 HD Remaster,"['ffx', 'story', 'character', 'ff', 'sphere', 'version', 'square', 'love', 'green', 'grind']","['scene', 'cut scene', 'green screen', 'cut', 'green', 'crash', 'port', 'unskippable cut', 'cutscene', 'experience']"
Fallout 4,"['settlement', 'mod', 'vegas', 'bethesda', 'story', 'quest', 'world', 'love', 'faction', 'rpg']","['bethesda', 'mod', 'vegas', 'crash', 'load', 'gen', 'know', 'patch', 'faction', 'll']"
Far Cry® 4,"['pagan', 'story', 'kyrat', 'ubisoft', 'character', 'outpost', 'mission', 'min', 'villain', 'farcry']","['ubisoft', 'gyro', 'launcher', 'uplay', 'stall', 'unskippable', 'mission', 'password', 'suck', 'animal']"
Far Cry® 5,"['ubisoft', 'story', 'farcry', 'cult', 'joseph', 'seed', 'villain', 'world', 'character', 'mission']","['ubisoft', 'story', 'cult', 'ubisoft connect', 'mission', 'connect', 'coop', 'que', 'helicopter', 'kill']"
FragPunk,"['lancer', 'currency', 'card', 'valorant', 'shooter', 'beta', 'monetization', 'shard card', 'skin', 'shard']","['currency', 'beta', 'lancer', 'gacha', 'monetization', 'movement', 'aim assist', 'assist', 'skin', 'banner']"
Golf With Your Friends,"['friend', 'ball', 'map', 'hole', 'friend friend', 'invisible', 'workshop', 'asset', 'hate friend', 'hit']","['hole', 'map', 'lobby', 'achievement', 'ball', 'friend', 'shot', 'random', 'decision', 'absurd']"
Grand Theft Auto V Legacy,"['gamble gamble', 'gta', 'gamble', 'online', 'story', 'gta online', 'heist', 'story mode', 'mission', 'rockstar']","['rockstar', 'gta', 'online', 'gta online', 'linux', 'mission', 'anticheat', 'money', 'griefer', 'shark card']"
Keep Driving,"['hitchhiker', 'road', 'road trip', 'car', 'music', 'drive', 'trip', 'ending', 'oregon', 'soundtrack']","['threat', 'cash', 'road', 'drive', 'event', 'buck', 'car', 'run', 'vehicle', 'pretty']"
Kingdom Come: Deliverance II,"['henry', 'warhorse', 'quest', 'story', 'kcd', 'medieval', 'combat', 'rpg', 'world', 'character']","['medieval', 'quest', 'choice', 'guard', 'sword', 'questline', 'll', 'accurate', 'writing', 'combat']"
Lossless Scaling,"['frame', 'fps', 'frame generation', 'software', 'frame gen', 'gpu', 'program', 'generation', 'upscale', 'gen']","['frame', 'fps', 'scale', 'monitor', 'el', 'program', 'app', 'latency', 'software', 'use']"
MONSTER HUNTER RISE,"['mh', 'sunbreak', 'world', 'wirebug', 'wild', 'switch', 'combat', 'hunt', 'series', 'love']","['risen', 'magala', 'glow valstrax', 'risen shagaru', 'shagaru', 'valstrax', 'shagaru magala', 'risen crimson', 'magala risen', 'anomaly investigation']"
Mafia: Definitive Edition,"['story', 'remake', 'car', 'original', 'graphic', 'amazing', 'drive', 'mission', 'classic', 'love']","['race', 'fullscreen', 'story', 'drive', 'car', 'crash', 'screen', 'launch', 'controller', 'mission']"
MapleStory,"['server', 'european', 'maple', 'european server', 'maple story', 'boss party', 'special currency', 'nexon', 'server lag', 'lag']","['nexon', 'lest', 'server', 'monster', 'class', 'monster spawn', 'grindy past', 'platformer', 'gl', 'maintenance']"
Marvel’s Spider-Man Remastered,"['spiderman', 'story', 'swinge', 'web', 'combat', 'amazing', 'love', 'mile', 'pc', 'suit']","['repetitive', 'boss', 'boring', 'ugly', 'gadget', 'unlikable', 'main', 'filler', 'story', 'swinge']"
Mass Effect™ Legendary Edition,"['trilogy', 'story', 'shepard', 'bioware', 'character', 'series', 'scifi', 'ea', 'choice', 'rpg']","['ea', 'app', 'ea app', 'squad', 'launcher', 'story', 'ea launcher', 'steam', 'rpg', 'trilogy']"
Monster Hunter: World,"['love love', 'love', 'wild', 'hunt', 'iceborne', 'mh', 'weapon', 'friend', 'series', 'armor']","['weapon', 'wild', 'attack', 'capcom', 'gear', 'clutch', 'character', 'claw', 'combat', 'fight']"
My Time at Sandrock,"['portia', 'story', 'character', 'evershine', 'love', 'cozy', 'town', 'commission', 'pen', 'builder']","['multiplayer', 'story', 'lvl', 'buddy', 'cross', 'task', 'sandbox', 'reach', 'copy', 'mode']"
NBA 2K25,"['basketball', 'vc', 'pc', 'graphic', 'mode', 'era', 'career', 'year', 'sport', 'sale']","['foul', 'reach foul', 'foul reach', 'basketball', 'reach', 'vc', 'mycareer', 'crash', 'cpu', 'year']"
No Man's Sky,"['planet', 'space', 'exploration', 'hello', 'mans', 'nms', 'expedition', 'explore', 'ship', 'love']","['planet', 'mans', 'ship', 'base', 'bug', 'mission', 'fetch', 'upgrade', 'progress', 'space']"
PAYDAY 2,"['heist', 'bank', 'medic', 'bag', 'drill', 'police', 'love', 'mission', 'rob', 'friend']","['gibi', 'heist', 'rob', 'dislike', 'stealth', 'cash', 'dlcs', 'crash', 'freeze', 'people dlcs']"
PUBG: BATTLEGROUNDS,"['br', 'royale', 'battle royale', 'battle', 'cheater', 'shoot', 'love', 'hacker', 'gunplay', 'squad']","['cheater', 'hacker', 'ban', 'cheat', 'chinese', 'server', 'vanilla ice', 'bot', 'ice cream', 'hacker hacker']"
Pathfinder: Kingmaker — Enhanced Plus Edition,"['owlcat', 'kingdom management', 'crpgs', 'kingdom', 'crpg', 'rpg', 'story', 'wotr', 'character', 'management']","['encounter', 'spider', 'ttrpg', 'party', 'kingdom', 'kingdom management', 'quest', 'immune', 'combat', 'character']"
Phasmophobia,"['ghost', 'friend', 'scary', 'horror', 'mimic mimic', 'scare', 'mimic', 'evidence', 'hunt', 'map']","['ghost', 'rework', 'map', 'community', 'year', 'devs', 'roadmap', 'lobby', 'scary', 'release']"
Planet Coaster,"['park', 'tycoon', 'roller', 'guest', 'theme park', 'rollercoaster', 'ride', 'frontier', 'theme', 'management']","['park', 'tycoon', 'roof', 'building', 'build', 'ride', 'snap', 'ui', 'meter', 'management']"
Portal 2,"['puzzle', 'story', 'valve', 'glado', 'chamber', 'coop', 'coop mode', 'level', 'solve', 'love']","['puzzle', 'wall', 'white', 'clearly', 'manipulate', 'kinda', 'spray', 'bounce', 'run fps', 'local']"
Ravenfield,"['mod', 'modding', 'war', 'love', 'ragdoll', 'workshop', 'battlefield', 'sandbox', 'community', 'conquest']","['year', 'estimate', 'modding', 'mod', 'modder', 'promise', 'developer', 'early access', 'finish', 'mode']"
Red Dead Redemption 2,"['story', 'arthur', 'world', 'rockstar', 'character', 'graphic', 'morgan', 'arthur morgan', 'masterpiece', 'amazing']",
Resident Evil 4,"['remake', 'leon', 'ashley', 'original', 'story', 'ada', 'character', 'horror', 'love', 'mercenary']","['original', 'knife', 'boss', 'remake', 'horror', 'fight', 'melee', 'remaster', 'constant', 'boss fight']"
Robin Hood - Sherwood Builders,"['quest', 'village', 'puzzle', 'quest puzzle', 'combat', 'resource', 'world', 'basebuilde', 'builder', 'rpg']","['unfinished tech', 'tech demo', 'english', 'demo', 'unfinished', 'tech', 'immersion', 'target reason', 'simply craft', 'stop drink']"
Rust,"['raid', 'server', 'beach', 'spawn beach', 'spawn', 'base', 'survival', 'offline', 'friend', 'kill']","['server', 'ban', 'cheater', 'survival', 'people', 'run', 'base', 'wipe', 'kill', 'load']"
Satisfactory,"['factory', 'build', 'conveyor', 'conveyor belt', 'belt', 'factorio', 'automation', 'love', 'building', 'production']","['item', 'build', 'blueprint', 'train', 'belt', 'factory', 'station', 'building', 'truck', 'solve']"
Sekiro™: Shadows Die Twice - GOTY Edition,"['hesitation defeat', 'defeat hesitation', 'hesitation', 'combat', 'defeat', 'boss', 'fromsoft', 'fromsoftware', 'soul', 'parry']","['boss', 'hdr', 'parry', 'soul', 'block', 'camera', 'attack', 'controller', 'enemy', 'elden']"
Shadowrun Returns,"['story', 'hong kong', 'dragonfall', 'hong', 'barebone', 'racial limit', 'turn base', 'linear', 'orc', 'succinct']","['sequel', 'miss', 'ending okay', 'definitely forgettable', 'trilogy definitely', 'forgettable ending', 'die instant', 'fight unbalance', 'runner armor', 'blindside gamebreake']"
Sid Meier’s Civilization® VI,"['civ', 'civ civ', 'strategy', 'leader', 'turn', 'love', 'city', 'unit', 'victory', 'religion']","['civ', 'ai', 'city', 'era', 'crash', 'unit', 'nation', 'mac', 'produce', 'war']"
Space Engineers,"['ship', 'engineer', 'build', 'sandbox', 'minecraft', 'love', 'mod', 'physics', 'drill', 'survival']","['engineer', 'dlcs', 'ship', 'scenario', 'build', 'sandbox', 'tutorial', 'cosmetic', 'survival', 'watch tutorial']"
Split Fiction,"['hazelight', 'coop', 'story', 'experience', 'hazelight studio', 'friend', 'amazing', 'studio', 'love', 'friend pass']","['story', 'character', 'interactive', 'datum', 'world', 'ea', 'user', 'segment', 'puzzle', 'engage']"
Star Wars Outlaws,"['war', 'jedi', 'ubisoft', 'kay', 'story', 'world', 'character', 'open world', 'sale', 'far']","['ubisoft', 'war', 'story', 'crash', 'ubisoft connect', 'connect', 'open world', 'mission', 'open', 'kay']"
Stardew Valley,"['farming', 'cozy', 'farm', 'love', 'cheese cheese', 'relax', 'cheese', 'crop', 'fishing', 'harvest moon']","['steamdeck', 'task manager', 'mod support', 'manager', 'deck', 'steam deck', 'task', 'report', 'xbox', 'switch']"
Team Fortress 2,"['slip away', 'spy', 'love', 'slip', 'valve', 'heavy', 'medic', 'class', 'year', 'start love']","['valve', 'bot', 'view', 'year', 'community', 'competitive', 'community server', 'train', 'soul', 'carefully']"
Terraria,"['minecraft', 'boss', 'mod', 'tmodloader', 'friend', 'wiki', 'build', 'craft', 'sandbox', 'love']","['que', 'jogo', 'scare', 'da', 'os', 'se', 'boss', 'na', 'real', 'devs']"
The Binding of Isaac: Rebirth,"['gambling love', 'sacce', 'love gambling', 'sacce sacce', 'gambling', 'love', 'roguelike', 'item', 'bind', 'repentance']","['item', 'enemy', 'boss', 'run', 'unlock', 'issue', 'fight', 'spawn', 'foot', 'heart']"
The Sims™ 4,"['sim', 'love', 'life', 'ea', 'pack', 'mod', 'create', 'house', 'free', 'dlcs']","['sim', 'ea', 'pack', 'content', 'sim sim', 'mod', 'expansion', 'expansion pack', 'free', 'usd']"
The Survivalists,"['monkey', 'survivalist', 'survival', 'ya', 'ini', 'di', 'starve', 'grind', 'bug', 'cute']","['monkey', 'blueprint', 'craft bench', 'host monkeyscant', 'multiplayr', 'tell host', 'pls multiplayr', 'craft craft', 'bench bro', 'bro blueprint']"
The Witcher 3: Wild Hunt,"['geralt', 'story', 'quest', 'gwent', 'world', 'combat', 'character', 'ciri', 'rpg', 'monster']","['combat', 'control', 'loot', 'world', 'movement', 'story', 'material', 'travel', 'choice', 'experience']"
Thief,"['stealth', 'story', 'series', 'reboot', 'guard', 'city', 'old', 'steal', 'shadow', 'gamepad']","['stealth', 'open', 'playstyle', 'story', 'open world', 'pretty', 'gold', 'climb', 'chapter', 'reward']"
Titanfall® 2,"['campaign', 'titan', 'multiplayer', 'story', 'bt', 'movement', 'fps', 'shooter', 'pilot', 'amazing']","['ea', 'campaign', 'fuck ea', 'fuck', 'learn', 'launcher', 'ea launcher', 'robot', 'mode', 'tone']"
Tom Clancy's Rainbow Six® Siege,"['operator', 'tactical', 'shooter', 'rank', 'ubisoft', 'friend', 'round', 'teammate', 'tactical shooter', 'people']","['ubisoft', 'cheater', 'ban', 'server', 'rank', 'operator', 'que', 'op', 'shit', 'team']"
Tower Unite,"['condo', 'social', 'vrchat', 'friend', 'minigolf', 'gmod', 'usergenerated', 'arcade', 'decorate', 'hangout']","['server', 'coast', 'bowl', 'absolutely love', 'road', 'issue', 'report', 'optimize', 'plaza', 'bug devs']"
Unknown Game,"['code vein', 'anime', 'vein', 'soulslike', 'code', 'soul', 'io', 'companion', 'boss', 'story']","['soul', 'dark soul', 'dark', 'soulslike', 'enemy', 'code vein', 'stamina', 'vein', 'design', 'map']"
Valheim,"['survival', 'biome', 'world', 'vike', 'build', 'building', 'friend', 'craft', 'boss', 'progression']","['biome', 'boss', 'ashland', 'mistland', 'build', 'grind', 'travel', 'enemy', 'survival', 'silver']"
"Warhammer 40,000: Space Marine 2","['emperor', 'campaign', 'operation', 'pvp', 'pve', 'enemy', 'story', 'mode', 'combat', 'mission']","['campaign', 'operation', 'pvp', 'mission', 'weapon', 'saber', 'class', 'pve', 'enemy', 'parry']"
Windblown,"['dead cell', 'cell', 'early access', 'hade', 'dead', 'roguelike', 'weapon', 'access', 'run', 'early']","['dead cell', 'cell', 'motion twin', 'dead', 'twin', 'melee', 'motion', 'evil empire', 'content', 'weapon']"
X-Morph: Defense,"['tower', 'turret', 'anti air', 'wave', 'plasma', 'anti', 'attack', 'ship', 'laser', 'ressource']","['default screen', 'screen', 'default', 'set', 'andor default', 'window set', 'set set', 'screen box', 'launch screen', 'main andor']"
Yakuza 0,"['kiryu', 'majima', 'story', 'dame', 'series', 'peak', 'combat', 'ne', 'minigame', 'character']","['chapter', 'story', 'dig', 'reason', 'combat', 'unplayable', 'fight', 'pc', 'fuck', 'save']"
